source,target,tgt_lng
Ghost Dancer,骷髅舞者,zh-CN
スケルトンジャンパー,骷髅舞者,zh-CN
Warg Rider,座狼骑士,zh-CN
フェンリルライダー,座狼骑士,zh-CN
Dark Octopus,暗黑章鱼,zh-CN
クレイジーオクトパス,暗黑章鱼,zh-CN
Gorgon,铠甲战兽,zh-CN
ゴーゴン,铠甲战兽,zh-CN
Cave Troll,洞穴巨魔,zh-CN
チュパカパブラ,洞穴巨魔,zh-CN
Fire Demon,火焰恶魔,zh-CN
フレイムデーモン,火焰恶魔,zh-CN
Malachi,玛拉基,zh-CN
エビル,玛拉基,zh-CN
Doppleganger40,分身Lv40,zh-CN
ドッペルゲンガーＬＶ４０,分身Lv40,zh-CN
The Creature,弗兰肯,zh-CN
フランケン,弗兰肯,zh-CN
Blue Venus Weed,蓝晨星草,zh-CN
ブルー・アルラ・ウネ,蓝晨星草,zh-CN
Akmodan II,木乃伊,zh-CN
ミイラ男,木乃伊,zh-CN
Medusa,美杜莎,zh-CN
メディウサ,美杜莎,zh-CN
Imp,小鬼,zh-CN
インプ,小鬼,zh-CN
Fake Grant,假格兰特,zh-CN
グラント・フェイク,假格兰特,zh-CN
Fake Trevor,假特雷弗,zh-CN
ラルフ・フェイク,假特雷弗,zh-CN
Fake Sypha,假西法,zh-CN
サイファ・フェイク,假西法,zh-CN
Beelzebub,蝇王,zh-CN
ベルゼブブ,蝇王,zh-CN
Salome,年轻的女巫,zh-CN
サウジーネ,年轻的女巫,zh-CN
Azaghal,地狱刽子手,zh-CN
ブーロー,地狱刽子手,zh-CN
Frozen Half,冰精灵,zh-CN
フローズンハーフ,冰精灵,zh-CN
Richter Belmont,里希特·贝尔蒙特,zh-CN
リヒター・ベルモンド,里希特·贝尔蒙特,zh-CN
Dodo Bird,渡渡鸟,zh-CN
ドードー,渡渡鸟,zh-CN
Galamoth,加拉莫斯,zh-CN
ガラモス,加拉莫斯,zh-CN
Guardian,高级铠甲领主,zh-CN
ファイナル・ガード,高级铠甲领主,zh-CN
Death,死神,zh-CN
デス,死神,zh-CN
Shaft,沙夫特,zh-CN
シャフト,沙夫特,zh-CN

Karma Coin,卡尔玛金币,zh-CN
Dim Sum Set,点心套餐,zh-CN
Meal Ticket,餐券,zh-CN
Neutron bomb,中子弹,zh-CN
Red Bean Bun,红豆包,zh-CN
Bwaka Knife,布瓦卡之刀,zh-CN
Shuriken,手里剑,zh-CN
Shiitake,香菇,zh-CN
Power of Sire,陛下之力,zh-CN
Toadstool,毒蘑菇,zh-CN
Bat pentagram,强击五芒星阵,zh-CN
Buffalo Star,迷惑之星,zh-CN
